Node Number	Shear Stress (MPa)
943	-0.14455
944	0.18348
945	0.43019
946	0.35547
947	0.11774
948	-3.4233e-002
949	1.1178e-002
950	0.2807
951	0.51096
952	0.7251
953	0.70714
954	-0.34739
955	1.0834
956	0.67132
957	0.11239
958	-0.37052
959	-0.45992
960	-6.8765e-002
961	0.66997
962	1.0832
963	1.8406e-002
964	0.90362
965	-0.23899
966	0.54449
967	0.88893
968	0.83903
969	0.37343
970	-7.2926e-002
971	-6.6147e-002
972	0.44711
973	0.84953
974	1.0126
975	0.48281
976	0.60967
977	0.44774
978	4.7859e-002
979	-8.6179e-002
980	0.16786
981	0.56404
982	0.78297
983	0.8688
984	0.13636
985	0.59014
986	0.84489
987	0.62228
988	0.14491
989	-4.4054e-002
990	8.933e-002
991	0.59066
992	0.98193
993	0.31717
994	-9.5755e-002
995	0.10983
996	5.6002e-002
997	-0.11649
998	-0.2801
999	-0.47711
1000	-0.34578
1001	7.5048e-003
1002	5.3555e-004
1003	-0.11353
1004	-0.20351
1005	-0.18049
1006	-0.43851
1007	-0.32842
1008	0.12564
1009	-2.4516e-002
1010	-0.26835
1011	-0.40677
1012	-0.12767
1013	-0.35327
1014	-0.31961
1015	-0.11
1016	6.9469e-002
1017	1.2412e-002
1018	-7.452e-003
1019	-0.24785
1020	-0.32748
1021	-7.5174e-002
1022	4.9465e-002
1023	-0.20927
1024	-0.32068
1025	5.6949e-002
1026	-9.2046e-002
1027	3.2254
1028	1.1313
1029	-1.2451
1030	-2.4138
1031	-1.8511
1032	-0.73582
1033	5.8565
1034	2.0169
1035	-1.3709
1036	-3.4932
1037	-2.8942
1038	-0.84815
1039	-0.64521
1040	4.7472
1041	-0.77364
1042	-2.6861
1043	-2.8344
1044	-2.0166
1045	3.7406
1046	-1.5251
1047	-0.31112
1048	3.6177
1049	1.4266
1050	0.79331
1051	-2.616
1052	-3.1514
1053	-1.778
1054	3.2917
1055	-1.8141
1056	-3.4341
1057	-2.9319
1058	-0.78889
1059	-3.1649
1060	-0.33188
1061	-0.83844
1062	-0.7845
1063	-0.74504
1064	-0.59217
1065	-0.88255
1066	-0.55193
1067	-0.27734
1068	-0.45152
1069	-0.38136
1070	-0.68543
1071	-0.99453
1072	-0.99906
1073	-0.78149
1074	-0.92956
1075	-0.83143
1076	-0.44354
1077	-0.42236
1078	-0.89153
1079	-0.95705
1080	-1.0457
1081	-0.71823
1082	-0.68416
1083	-1.0662
1084	-1.0914
1085	-0.97088
1086	-2.0648
1087	-1.5813
1088	-1.4356
1089	-1.3781
1090	-1.1531
1091	-1.0495
1092	-3.1215
1093	-3.2663
1094	-2.9681
1095	-2.3636
1096	-1.9331
1097	-2.9843
1098	-2.6842
1099	-2.1812
1100	-1.947
1101	-1.8148
1102	-2.8801
