Node Number	Shear Stress (Pa)
1129	1.1302e+006
1130	1.3417e+006
1131	8.4842e+005
1132	4.9883e+005
1133	8.341e+005
1134	7.2663e+005
1135	5.7007e+005
1136	-1.219e+006
1137	-1.2371e+006
1138	-8.1252e+005
1139	10080
1140	8.3797e+005
1141	1.4446e+006
1142	1.5793e+006
1143	1.1154e+006
1144	1.0483e+006
1145	1.2265e+006
1146	4.7829e+005
1147	-17608
1148	-3.8295e+005
1149	-8.2168e+005
1150	-8.0184e+005
1151	-3.7133e+005
1152	2.6262e+005
1153	8.2843e+005
1154	1.1186e+006
1155	1.1091e+006
1156	5.4617e+005
1157	-1.2258e+005
1158	-4.3484e+005
1159	-4.6092e+005
1160	-1.7391e+005
1161	3.5819e+005
1162	9.2794e+005
1163	1.4123e+006
1164	1.1567e+006
1165	1.1475e+006
1166	9.4512e+005
1167	1.1367e+006
1168	8.1899e+005
1169	5.9059e+005
1170	-5.7909e+005
1171	-4.4571e+005
1172	-76946
1173	3.065e+005
1174	8.0024e+005
1175	9.4725e+005
1176	8.2541e+005
1177	1.6406e+005
1178	-1.9035e+005
1179	-4.3177e+005
1180	-2.7735e+005
1181	1.3459e+005
1182	6.9425e+005
1183	1.3374e+006
1184	1.5416e+006
1185	7.3397e+005
1186	1.0694e+006
1187	4.0973e+005
1188	2.3091e+005
1189	-2.3713e+005
1190	-2.1082e+005
1191	26085
1192	3.173e+005
1193	6.3715e+005
1194	1.601e+005
1195	-2.0437e+005
1196	-3.3432e+005
1197	-1.6484e+005
1198	2.6216e+005
1199	9.1435e+005
1200	1.484e+006
1201	1.3221e+006
1202	9.0568e+005
1203	1.1519e+006
1204	7.5266e+005
1205	6.0176e+005
1206	6.7159e+005
1207	-2.4036e+005
1208	-2.5143e+005
1209	-30717
1210	5.1825e+005
1211	1.0915e+006
1212	1.3909e+006
1213	6.8059e+005
1214	7.4877e+005
1215	7.4906e+005
1216	4.084e+005
1217	69276
1218	-25764
1219	24946
1220	2.0622e+005
1221	1.964e+005
1222	-1.4081e+005
1223	-1.6341e+005
1224	2734.8
1225	5.1601e+005
1226	1.0186e+006
1227	6.3813e+005
1228	7.7272e+005
1229	-58345
1230	1.0977e+005
1231	3.3436e+005
1232	4.6083e+005
1233	1.8199e+005
1234	-21592
1235	2.7986e+005
1236	8.8541e+005
1237	6.5094e+005
1238	2.2504e+005
1239	1781.
1240	40113
1241	39237
1242	1.5092e+005
1243	3.9259e+005
1244	9410.7
1245	4.3867e+005
1246	6.8347e+005
1247	2.3199e+005
1248	5.5135e+005
1249	1.3425e+006
1250	2.4532e+006
1251	3.0843e+006
1252	3.136e+006
1253	2.3968e+006
1254	1.2459e+006
1255	1.3805e+005
1256	-6.6573e+005
1257	-7.3286e+005
1258	8.2359e+005
1259	8.1591e+005
1260	1.4008e+006
1261	1.5841e+006
1262	1.4748e+006
1263	9.5629e+005
1264	2.704e+005
1265	-99995
1266	35846
1267	6.3875e+005
1268	9.2691e+005
1269	1.1974e+006
1270	8.1128e+005
1271	2.8922e+005
1272	1.6703e+005
1273	1.7319e+005
1274	2.3701e+005
1275	-52648
1276	1.4454e+006
1277	2.2411e+006
1278	2.6546e+006
1279	2.3935e+006
1280	1.5672e+006
1281	4.9301e+005
1282	-3.0636e+005
1283	-6.1328e+005
1284	-1.6497e+005
1285	98221
1286	2.5424e+005
1287	1.7935e+005
1288	7.129e+005
1289	1.3082e+006
1290	1.9481e+006
1291	1.928e+006
1292	1.5417e+006
1293	8.5951e+005
1294	1.6923e+005
1295	-3.6497e+005
1296	5.7255e+005
1297	1.4569e+006
1298	1.7626e+006
1299	1.7419e+006
1300	1.4227e+006
1301	9.0446e+005
1302	3.4968e+005
1303	2.5859e+005
1304	3.1378e+005
1305	6.6127e+005
1306	7.5951e+005
1307	2.1464e+005
1308	4.0576e+005
1309	4.8106e+005
1310	1.2286e+006
1311	1.5755e+006
1312	1.3249e+006
1313	9.9333e+005
1314	4.3545e+005
1315	-62539
1316	-2.0055e+005
1317	9.2355e+005
1318	1.4886e+006
1319	1.756e+006
1320	1.5153e+006
1321	1.0287e+006
1322	5.5414e+005
1323	57690
1324	-21780
1325	6.5453e+005
1326	4.5425e+005
1327	3.7082e+005
1328	7.0776e+005
