Node Number	Normal Stress (Pa)
1171	-2.6087e+006
1172	-2.6602e+006
1173	-2.6269e+006
1174	-2.127e+006
1175	-1.4232e+006
1176	-1.1053e+006
1177	-6.3327e+005
1178	-4.1143e+005
1179	-3.9064e+005
1180	-2.915e+005
1181	-1.4575e+005
1182	9028.4
1183	2.6602e+005
1184	5.965e+005
1185	-2.424e+006
1186	-4.3126e+006
1187	-3.7031e+006
1188	-4.1129e+006
1189	-3.7751e+006
1190	-3.8903e+006
1191	-3.9133e+006
1192	-3.6082e+006
1193	-2.8414e+006
1194	-1.755e+006
1195	-1.222e+006
1196	-1.2149e+006
1197	-9.9126e+005
1198	-7.7484e+005
1199	-3.6442e+005
1200	3.6001e+005
1201	1.0306e+006
1202	-4.6936e+006
1203	3.1418e+005
1204	-7.4525e+005
1205	-2.5731e+006
1206	-1.7929e+006
1207	-1.9251e+006
1208	-1.6127e+006
1209	-1.6934e+006
1210	-1.0682e+006
1211	-3.2485e+005
1212	4.8736e+005
1213	-3.2789e+006
1214	-5.013e+006
1215	-1.5392e+006
1216	-5.34e+006
1217	-5.2998e+006
1218	-5.2776e+006
1219	-5.0821e+006
1220	-4.5004e+006
1221	-3.5134e+006
1222	-2.8184e+006
1223	-3.0819e+006
1224	-2.6472e+006
1225	-2.1562e+006
1226	-1.2865e+006
1227	-4.2151e+006
1228	-1.311e+006
1229	-5.6509e+006
1230	-5.1681e+006
1231	-4.0651e+006
1232	-2.9026e+006
1233	-4.2266e+006
1234	-3.5991e+006
1235	-2.7824e+006
1236	-1.1131e+006
1237	-5.2608e+006
1238	-5.2164e+006
1239	-5.0028e+006
1240	-5.5426e+006
1241	-5.3905e+006
1242	-4.796e+006
1243	-5.0613e+006
1244	-4.6065e+006
1245	-3.1459e+006
1246	-2.5726e+006
1247	-1.0612e+006
1248	-3.0462e+005
1249	-4.5665e+005
1250	-3.0991e+005
1251	-3.9603e+005
1252	-2.1339e+005
1253	-2.3272e+005
1254	-1.3273e+005
1255	-2.1515e+005
1256	-2.7051e+005
1257	-4.8573e+005
1258	4.4561e+005
1259	6.2089e+005
1260	4.6923e+005
1261	3.5193e+005
1262	3.8507e+005
1263	3.1156e+005
1264	2.7403e+005
1265	3.5672e+005
1266	-56730
1267	-37074
1268	-1.7959e+006
1269	-4.8003e+006
1270	-4.5286e+006
1271	2.1806e+006
1272	2.3311e+006
1273	2.3581e+006
1274	-3.33e+005
1275	-8.8403e+005
1276	-6.0184e+005
1277	-7.0082e+005
1278	-9.1273e+005
1279	-9.234e+005
1280	-9.5667e+005
1281	-8.4417e+005
1282	-7.7604e+005
1283	-4.4253e+005
1284	-2.0669e+006
1285	2.5873e+006
1286	8.2883e+005
1287	-9.7053e+005
1288	-1.4561e+006
1289	-1.5148e+006
1290	-1.8291e+006
1291	-1.927e+006
1292	-2.0639e+006
1293	-2.0117e+006
1294	-1.8829e+006
1295	-1.1951e+006
1296	1.272e+006
1297	6.3329e+005
1298	3.9537e+005
1299	2.0325e+005
1300	32874
1301	29951
1302	-1.4722e+005
1303	-1.5687e+005
1304	-6.1438e+005
1305	-3.2267e+006
1306	-5.5287e+006
1307	-4.2082e+006
1308	1.3616e+006
1309	-9.7673e+005
1310	-2.206e+006
1311	-2.7923e+006
1312	-3.2241e+006
1313	-3.3566e+006
1314	-3.2807e+006
1315	-2.9468e+006
1316	-2.5471e+006
1317	7.8863e+005
1318	4.5226e+005
1319	36106
1320	-1.4802e+005
1321	-3.4893e+005
1322	-3.9106e+005
1323	-2.9129e+005
1324	-5.7398e+005
1325	1.2347e+006
1326	1.7175e+005
1327	-1.5646e+006
1328	-2.7472e+006
1329	-3.4159e+006
1330	-4.3723e+006
1331	-4.8065e+006
1332	-4.9345e+006
1333	-4.8901e+006
1334	33164
1335	-1.6558e+005
1336	-5.9249e+005
1337	-9.8584e+005
1338	-1.27e+006
1339	-1.2807e+006
1340	-1.3065e+006
1341	-2.0146e+006
1342	-4.4254e+006
1343	-5.7732e+006
1344	-9.7548e+005
1345	-5.0285e+006
1346	-4.1529e+006
1347	-1.0192e+006
1348	-1.2473e+006
1349	-1.9956e+006
1350	-1.8662e+006
1351	-1.7348e+006
1352	-1.8985e+006
1353	-5.5549e+006
1354	-85679
1355	-2.1788e+006
1356	-4.3805e+006
1357	-5.3527e+006
1358	-5.9677e+006
1359	-6.3569e+006
1360	-6.4849e+006
1361	-1.731e+006
1362	-2.4076e+006
1363	-3.3855e+006
1364	-3.4853e+006
1365	-3.7972e+006
1366	-3.6734e+006
1367	-5.7083e+006
1368	-1.3949e+006
1369	-6.6615e+006
1370	-6.8547e+006
1371	-6.5097e+006
1372	-6.456e+006
1373	-3.2151e+006
1374	-4.3325e+006
1375	-4.1332e+006
