Node Number	Normal Stress (MPa)
1110	-1.0965
1111	-1.0814
1112	-0.94366
1113	-0.72726
1114	-0.48323
1115	-0.28227
1116	-0.18952
1117	-0.28876
1118	6.4426e-002
1119	-3.244e-002
1120	-0.10223
1121	-0.18431
1122	-0.22729
1123	-0.2356
1124	-0.27894
1125	-0.4253
1126	-0.45617
1127	-0.7147
1128	7.2679e-002
1129	-7.8132e-002
1130	-0.15614
1131	-0.35777
1132	-0.46622
1133	-1.014
1134	-1.1947
1135	-0.80508
1136	-0.94523
1137	-0.99218
1138	-0.95276
1139	-0.80471
1140	-0.60566
1141	-0.38989
1142	-0.26743
1143	-0.20256
1144	-1.5729e-002
1145	-0.21926
1146	-0.66129
1147	-0.5859
1148	-0.71548
1149	-0.84286
1150	-0.88549
1151	-0.80847
1152	-0.66383
1153	-0.52764
1154	-0.37293
1155	-0.26025
1156	-5.3151e-002
1157	-0.14061
1158	-0.21683
1159	-0.26174
1160	-0.30197
1161	-0.32912
1162	-0.37262
1163	-0.46699
1164	-0.54459
1165	-0.15074
1166	-0.34108
1167	-0.68749
1168	-0.82641
1169	-0.45804
1170	-0.80403
1171	-0.78657
1172	-0.69973
1173	-0.60272
1174	-0.47309
1175	-0.37026
1176	-0.33761
1177	-0.11544
1178	-0.19192
1179	-0.26952
1180	-0.29552
1181	-0.31079
1182	-0.34936
1183	-0.39196
1184	-0.50136
1185	-0.13768
1186	-0.21039
1187	-0.50407
1188	-0.57272
1189	-0.67057
1190	-0.67706
1191	-0.61265
1192	-0.54543
1193	-0.47849
1194	-0.21716
1195	-0.2604
1196	-0.32211
1197	-0.3529
1198	-0.36057
1199	-0.39386
1200	-0.45496
1201	-0.56375
1202	-0.26521
1203	-0.6217
1204	-0.59561
1205	-0.47074
1206	-0.43723
1207	-0.31529
1208	-0.33141
1209	-0.36772
1210	-0.3975
1211	-0.43409
1212	-0.51122
1213	-0.21307
1214	-0.36983
1215	-0.54077
1216	-0.46609
1217	-0.55404
1218	-0.56305
1219	-0.55337
1220	-0.53881
1221	-0.30635
1222	-0.35038
1223	-0.39686
1224	-0.41162
1225	-0.44255
1226	-0.51086
1227	-0.27789
1228	-0.57765
1229	-0.54336
1230	-0.52745
1231	-0.53911
1232	-0.52662
1233	-0.35418
1234	-0.41535
1235	-0.43067
1236	-0.54572
1237	-0.35992
1238	-0.42743
1239	-0.43066
1240	-0.4625
1241	-0.48509
1242	-0.50764
1243	-0.37922
1244	-0.47931
1245	-0.50979
1246	-0.56351
1247	1.1459
1248	0.77848
1249	0.67188
1250	-2.2007e-002
1251	-0.2258
1252	-0.26901
1253	-0.17863
1254	-5.6942e-002
1255	-8.8382e-004
1256	-6.7028e-002
1257	-0.2505
1258	-0.81469
1259	-0.26302
1260	-7.9625e-002
