Node Number	Shear Stress (MPa)
735	-0.85095
736	-0.78553
737	-0.79349
738	-0.45216
739	-0.44882
740	-0.55288
741	-0.38675
742	-4.5816e-002
743	-2.4319e-002
744	-0.57322
745	3.2525e-002
746	-0.35868
747	6.6194e-002
748	-0.13087
749	0.36015
750	0.80073
751	0.42842
752	0.75992
753	1.2906
754	1.5528
755	1.9305
756	2.5188
757	2.3731
758	3.47
759	2.7685
760	3.4592
761	0.10034
762	-0.17565
763	-0.24909
764	-0.27518
765	-3.2167e-002
766	-8.4123e-003
767	-0.11947
768	-7.3319e-002
769	-0.16838
770	-0.16966
771	-0.17625
772	-0.21315
773	-0.162
774	-0.2895
775	-0.22632
776	-0.2226
777	-0.39562
778	0.30858
779	0.29106
780	0.26698
781	0.20563
782	-1.1045
783	-1.0062
784	-0.93448
785	-0.83047
786	-0.83804
787	-0.78362
788	-0.68439
789	-0.69814
790	-0.5017
791	-0.44097
792	-0.36933
793	-0.40259
794	-0.27943
795	-0.30353
796	-0.21617
797	-0.20707
798	-0.24564
799	-0.19517
800	-0.22341
801	-0.16294
802	-0.17383
803	-0.1343
804	-0.12183
805	-8.5019e-002
806	-8.7218e-002
807	-5.995e-002
808	-5.3929e-002
809	-3.4947e-002
810	3.8556e-002
811	-6.8221e-002
812	-5.0765e-002
813	-2.4186e-002
814	2.6783e-002
815	-2.5241e-002
816	0.29086
817	7.5451e-002
818	-0.33706
819	-0.66865
820	-1.3615
821	-1.5528
822	-1.7146
823	-1.7926
824	-1.5603
825	-0.85795
826	-0.64967
827	-0.13612
828	0.22284
829	0.19134
830	0.56519
831	0.35437
832	0.22843
833	0.12656
834	-7.6243e-002
835	-0.2416
836	-0.33434
837	2.6928e-005
838	6.7041e-003
839	-5.1142e-002
840	-9.6708e-002
841	-0.12649
842	-0.17569
843	-0.26397
844	-0.30547
845	-0.29677
846	-0.27283
847	-0.21551
848	-0.11553
849	-7.5789e-002
850	5.1925e-002
851	8.9047e-002
852	0.12928
853	0.11533
854	0.16886
855	0.14458
856	6.4758e-002
857	5.0959e-002
858	3.607e-002
859	-9.8414e-003
860	-7.9456e-002
861	-0.13014
862	-0.19806
863	-0.24367
864	-0.20866
865	-0.11772
866	2.1862e-002
867	0.1311
868	0.20094
869	0.28738
870	0.20704
871	0.12328
872	2.4728e-002
873	1.1817
874	1.0403
875	0.6478
876	0.34932
877	0.16752
878	7.7497e-002
879	-0.13426
880	-0.26973
881	-0.43808
882	-0.59857
883	-0.7399
884	-0.73061
885	-0.71601
886	-0.7228
887	-0.68247
888	6.9029e-003
889	-0.19695
890	-0.4283
891	-0.22178
892	0.19661
893	0.34543
894	0.14604
895	0.69666
896	0.33907
897	0.33015
898	0.27586
899	-0.11972
900	-0.26032
901	-6.3509e-002
902	-1.6882e-002
903	5.2475e-002
904	-0.35571
905	-0.33139
906	-5.9464e-003
907	0.34877
908	0.33509
909	-4.3819e-002
910	0.16954
911	-0.20265
912	-0.24169
913	-9.2088e-002
914	0.17148
915	0.3166
916	0.22201
917	0.23047
918	0.25645
919	0.17232
920	-8.9853e-002
921	-0.16865
922	-0.15028
923	-0.16271
924	7.4776e-002
925	0.25546
926	0.25099
927	0.22783
928	0.21432
929	-1.136e-002
930	-0.15199
931	0.28507
932	4.1754e-002
933	-0.8323
934	-1.9448
935	-2.2161
936	-1.817
937	-0.47978
938	0.67954
939	1.2653
940	1.0404
941	0.43174
942	5.994e-002
943	4.9807e-003
944	-0.15562
945	-0.45134
946	-0.70463
947	-0.74325
948	-0.4453
949	2.8671e-002
950	0.36874
951	0.40486
952	0.242
953	0.1159
954	2.0207e-002
955	-0.9222
956	-1.8334
957	-1.9186
958	-1.2523
959	-0.13238
960	0.6979
961	0.99546
962	0.74865
963	-6.2684e-002
964	0.16992
965	7.0953e-002
966	-0.27606
967	-0.8124
968	-1.3115
969	-1.3346
970	-0.84072
971	-5.5788e-002
972	0.5455
973	0.69249
974	0.4444
975	-0.34918
976	-0.80531
977	-1.0281
978	-0.85433
979	-0.2925
980	0.27568
981	0.52874
982	0.54072
983	0.39348
984	-3.7678e-002
985	-0.38476
986	-0.91488
