Node,X,Y
      377., -0.87839720E-02,  0.47857143E-02,  0.00000000E+00
      378., -0.90314078E-02,  0.43571429E-02,  0.00000000E+00
      379., -0.92788436E-02,  0.39285714E-02,  0.00000000E+00
      380., -0.95262794E-02,  0.35000000E-02,  0.00000000E+00
      381., -0.97737153E-02,  0.30714286E-02,  0.00000000E+00
      382., -0.10021151E-01,  0.26428571E-02,  0.00000000E+00
      383., -0.10268587E-01,  0.22142857E-02,  0.00000000E+00
      384., -0.10516023E-01,  0.17857143E-02,  0.00000000E+00
      385., -0.10763459E-01,  0.13571429E-02,  0.00000000E+00
      386., -0.11010894E-01,  0.92857143E-03,  0.00000000E+00
      387., -0.11258330E-01,  0.50000000E-03,  0.00000000E+00
      388., -0.11505766E-01,  0.71428571E-04,  0.00000000E+00
      389., -0.11753202E-01, -0.35714286E-03,  0.00000000E+00
      390., -0.12000638E-01, -0.78571429E-03,  0.00000000E+00
      391., -0.12248074E-01, -0.12142857E-02,  0.00000000E+00
      392., -0.12495509E-01, -0.16428571E-02,  0.00000000E+00
      393., -0.12742945E-01, -0.20714286E-02,  0.00000000E+00
      394., -0.12990381E-01, -0.25000000E-02,  0.50000000E-02
      395., -0.12990381E-01, -0.25000000E-02,  0.45000000E-02
      396., -0.12990381E-01, -0.25000000E-02,  0.40000000E-02
      397., -0.12990381E-01, -0.25000000E-02,  0.35000000E-02
      398., -0.12990381E-01, -0.25000000E-02,  0.30000000E-02
      399., -0.12990381E-01, -0.25000000E-02,  0.25000000E-02
      400., -0.12990381E-01, -0.25000000E-02,  0.20000000E-02
      401., -0.12990381E-01, -0.25000000E-02,  0.15000000E-02
      402., -0.12990381E-01, -0.25000000E-02,  0.10000000E-02
      403., -0.12990381E-01, -0.25000000E-02,  0.50000000E-03
      404., -0.45775628E-02,  0.12071429E-01,  0.50000000E-02
      405., -0.48249987E-02,  0.11642857E-01,  0.50000000E-02
      406., -0.50724345E-02,  0.11214286E-01,  0.50000000E-02
      407., -0.53198703E-02,  0.10785714E-01,  0.50000000E-02
      408., -0.55673062E-02,  0.10357143E-01,  0.50000000E-02
      409., -0.58147420E-02,  0.99285714E-02,  0.50000000E-02
      410., -0.60621778E-02,  0.95000000E-02,  0.50000000E-02
      411., -0.63096137E-02,  0.90714286E-02,  0.50000000E-02
      412., -0.65570495E-02,  0.86428571E-02,  0.50000000E-02
      413., -0.68044853E-02,  0.82142857E-02,  0.50000000E-02
      414., -0.70519211E-02,  0.77857143E-02,  0.50000000E-02
      415., -0.72993570E-02,  0.73571429E-02,  0.50000000E-02
      416., -0.75467928E-02,  0.69285714E-02,  0.50000000E-02
