Node,X,Y
      293.,  0.48990464E-02,  0.52643515E-02,  0.00000000E+00
      294., -0.26522031E-02,  0.30000000E-02,  0.00000000E+00
      295., -0.11022796E-01, -0.67251441E-02,  0.00000000E+00
      296.,  0.10726612E-01, -0.25588140E-02,  0.00000000E+00
      297.,  0.79293555E-02, -0.27598128E-02,  0.00000000E+00
      298.,  0.11196949E-01, -0.63799137E-02,  0.00000000E+00
      299.,  0.77316877E-02, -0.77075555E-02,  0.00000000E+00
      300.,  0.67469403E-02, -0.46111176E-02,  0.00000000E+00
      301., -0.24030330E-02, -0.75179391E-02,  0.00000000E+00
      302.,  0.79661417E-03,  0.89430762E-02,  0.00000000E+00
      303.,  0.32419417E-02,  0.10622540E-01,  0.00000000E+00
      304.,  0.30398833E-02, -0.83723452E-02,  0.00000000E+00
      305., -0.56772777E-02, -0.10000000E-01,  0.25000000E-02
      306., -0.25980764E-02, -0.10000000E-01,  0.25000000E-02
      307.,  0.86602541E-03, -0.10000000E-01,  0.25000000E-02
      308.,  0.48314164E-02, -0.10000000E-01,  0.25000000E-02
      309., -0.58216152E-02,  0.99166667E-02,  0.25000000E-02
      310., -0.73612158E-02,  0.72500001E-02,  0.25000000E-02
      311., -0.90932667E-02,  0.42500000E-02,  0.25000000E-02
      312., -0.11075962E-01,  0.81587065E-03,  0.25000000E-02
      313.,  0.11498893E-01,  0.83333317E-04,  0.25000000E-02
      314.,  0.99592922E-02,  0.27499999E-02,  0.25000000E-02
      315.,  0.82272413E-02,  0.57500000E-02,  0.25000000E-02
      316.,  0.62445458E-02,  0.91841293E-02,  0.25000000E-02
      317.,  0.36226957E-10,  0.17763568E-17,  0.25000000E-02
      318.,  0.12400956E-01, -0.40333249E-02,  0.38195091E-02
      319.,  0.56868538E-02, -0.87882388E-02,  0.15041035E-02
      320.,  0.89375671E-02,  0.21398679E-02,  0.13020833E-02
      321.,  0.25980762E-02, -0.90000000E-02,  0.12500000E-02
      322.,  0.60621778E-02, -0.90000000E-02,  0.37500000E-02
      323., -0.65187934E-02,  0.65321895E-02,  0.13162879E-02
      324., -0.93186320E-02,  0.17485448E-02,  0.38194444E-02
      325.,  0.12473171E-01, -0.52448100E-02,  0.12883208E-02
      326., -0.42679447E-02, -0.89576322E-02,  0.13446970E-02
      327.,  0.48153811E-02,  0.19398614E-02,  0.13541667E-02
      328.,  0.48296133E-02,  0.96211357E-02,  0.38851896E-02
      329., -0.29209225E-02,  0.12301515E-01,  0.13147503E-02
